,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
22394,211964023, 131.804028, 19.686697, 10.319, GO16021_LC|GO16028_LC
32596,251344379, 139.024758, 20.603242, 10.321, GO16052_LC
7576,211447433, 130.487099, 12.361268, 10.321, GO16052_LC
34366,251395682, 136.167555, 24.522857, 10.323, GO16052_LC
15880,211742240, 132.543172, 16.498825, 10.323, GO16009_LC|GO16021_LC|GO16028_LC
29426,212222383, 132.719666, 25.038114, 10.323, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
26676,212121208, 135.918943, 22.438931, 10.323, GO16009_LC|GO16020_LC|GO16021_LC|GO16083_LC
33646,251373558, 137.61205, 22.965471, 10.323, GO16004_LC|GO16052_LC
9364,211511562, 135.39039, 13.302255, 10.327, GO16052_LC
30751,251292219, 139.643015, 15.777263, 10.328, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
28533,212197354, 130.715134, 24.209472, 10.33, GO16021_LC
31490,251313286, 139.783651, 17.931028, 10.332, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
24921,212069101, 126.671364, 21.438709, 10.332, GO16009_LC|GO16021_LC|GO16028_LC
9373,211511844, 130.918098, 13.30597, 10.334, GO16009_LC|GO16021_LC|GO16056_LC
7556,211446869, 132.587926, 12.353232, 10.336, GO16052_LC
25816,212094652, 136.974375, 21.917498, 10.336, GO16009_LC|GO16021_LC|GO16028_LC
12537,211639199, 131.48871, 15.086831, 10.337, GO16021_LC
8552,211484952, 137.208506, 12.920977, 10.337, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
23021,212011650, 134.816643, 20.447604, 10.341, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
32181,251336330, 138.835162, 19.949381, 10.343, GO16004_LC|GO16052_LC
22119,211955012, 133.861569, 19.550135, 10.343, GO16052_LC|GO16071_LC
27220,212162014, 134.047059, 23.29855, 10.347, GO16009_LC|GO16021_LC|GO16028_LC
25000,212071379, 132.590385, 21.480854, 10.348, GO16021_LC
23905,212036562, 126.898875, 20.864153, 10.349, GO16009_LC|GO16021_LC
7830,211454715, 129.362868, 12.47177, 10.35, GO16021_LC|GO16028_LC
10472,211543291, 131.75781, 13.748301, 10.35, GO16021_LC|GO16028_LC
21906,211949097, 129.854089, 19.459354, 10.35, GO16009_LC|GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC|GO16065_LC
24485,212053022, 126.505888, 21.152725, 10.351, GO16021_LC|GO16033_LC
28258,212190504, 130.320755, 24.015254, 10.354, GO16020_LC|GO16028_LC|GO16052_LC
14178,211691816, 131.873241, 15.805533, 10.355, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
25934,212098170, 126.473835, 21.985521, 10.355, GO16052_LC
17059,211810737, 133.456781, 17.469399, 10.355, GO16009_LC|GO16021_LC|GO16028_LC
27934,212182133, 131.321267, 23.793767, 10.356, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
11839,211617205, 133.616914, 14.775106, 10.36, GO16021_LC
13646,211671379, 133.119077, 15.527512, 10.36, GO16052_LC
26110,212104224, 134.37498, 22.102698, 10.361, GO16009_LC|GO16021_LC|GO16028_LC
8584,211486632, 137.203145, 12.94541, 10.361, GO16052_LC
22973,212009960, 137.871729, 20.419258, 10.362, GO16004_LC|GO16052_LC
16443,211760290, 136.426967, 16.752092, 10.363, GO16021_LC|GO16028_LC|GO16083_LC
22425,211965662, 131.154298, 19.710863, 10.364, GO16009_LC|GO16020_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC|GO16065_LC|GO16083_LC
16992,211808997, 133.205239, 17.443332, 10.369, GO16020_LC|GO16052_LC
18024,211837712, 135.974092, 17.850508, 10.37, GO16052_LC
22229,211958281, 130.522783, 19.599513, 10.371, GO16020_LC|GO16052_LC
23841,212034636, 132.633478, 20.830877, 10.372, GO16052_LC
6160,211411679, 134.397464, 11.816729, 10.372, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
23872,212035711, 137.848819, 20.849221, 10.372, GO16020_LC|GO16028_LC
7661,211449800, 130.46927, 12.39756, 10.373, GO16009_LC|GO16021_LC|GO16028_LC
